training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,stopping_reason
1,endpoint,synthetic3d-100882,100882,moderate,False,0.11649460760415886,10,policy_step_limit
1,endpoint,synthetic3d-100887,100887,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-101275,101275,moderate,True,0.0,4,acceptable
1,endpoint,synthetic3d-101320,101320,hard,False,0.3980088871786984,10,policy_step_limit
1,endpoint,synthetic3d-101444,101444,hard,False,0.03070232089475633,10,policy_step_limit
1,endpoint,synthetic3d-101566,101566,hard,False,0.05072113875033457,10,policy_step_limit
1,endpoint,synthetic3d-101567,101567,easy,True,0.0,8,acceptable
1,endpoint,synthetic3d-101622,101622,moderate,True,0.0,2,acceptable
1,endpoint,synthetic3d-101763,101763,moderate,False,0.09716965939967426,10,policy_step_limit
1,endpoint,synthetic3d-101788,101788,moderate,True,0.0,3,acceptable
1,endpoint,synthetic3d-101921,101921,hard,False,0.03564312878776996,10,policy_step_limit
1,endpoint,synthetic3d-102031,102031,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-102113,102113,hard,False,0.43316541383505514,10,policy_step_limit
1,endpoint,synthetic3d-102703,102703,moderate,True,0.0,3,acceptable
1,endpoint,synthetic3d-102905,102905,moderate,True,0.0,2,acceptable
1,endpoint,synthetic3d-103177,103177,hard,False,0.5632077787256349,10,policy_step_limit
1,endpoint,synthetic3d-103369,103369,easy,True,0.0,3,acceptable
1,endpoint,synthetic3d-103425,103425,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-103428,103428,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-103545,103545,moderate,False,0.16458376481810832,10,policy_step_limit
1,endpoint,synthetic3d-103574,103574,easy,False,0.357223543314551,10,policy_step_limit
1,endpoint,synthetic3d-103710,103710,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-103884,103884,moderate,False,0.09613532773881939,10,policy_step_limit
1,endpoint,synthetic3d-103934,103934,hard,False,0.5929722959907434,10,policy_step_limit
1,endpoint,synthetic3d-103999,103999,moderate,False,0.15994395569200326,10,policy_step_limit
1,endpoint,synthetic3d-104063,104063,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-104099,104099,moderate,False,0.2673489004402907,10,policy_step_limit
1,endpoint,synthetic3d-104173,104173,easy,True,0.0,9,acceptable
1,endpoint,synthetic3d-104403,104403,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-104720,104720,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-104767,104767,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-105237,105237,moderate,False,0.44819492160208063,10,policy_step_limit
1,endpoint,synthetic3d-105609,105609,easy,False,0.25430493614880967,10,policy_step_limit
1,endpoint,synthetic3d-105963,105963,moderate,True,0.0,4,acceptable
1,endpoint,synthetic3d-106211,106211,moderate,True,0.0,3,acceptable
1,endpoint,synthetic3d-106524,106524,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-106643,106643,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-106762,106762,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-106905,106905,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-106955,106955,moderate,False,0.07153928146603405,10,policy_step_limit
1,endpoint,synthetic3d-107023,107023,moderate,True,0.0,2,acceptable
1,endpoint,synthetic3d-107125,107125,easy,True,0.0,3,acceptable
1,endpoint,synthetic3d-107427,107427,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-107511,107511,moderate,True,0.0,4,acceptable
1,endpoint,synthetic3d-107906,107906,moderate,True,0.0,4,acceptable
1,endpoint,synthetic3d-108121,108121,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-108206,108206,moderate,True,0.0,2,acceptable
1,endpoint,synthetic3d-108267,108267,easy,True,0.0,2,acceptable
1,endpoint,synthetic3d-108331,108331,easy,True,0.0,4,acceptable
1,endpoint,synthetic3d-108703,108703,hard,False,0.050567921470193275,10,policy_step_limit
1,endpoint,synthetic3d-108746,108746,moderate,False,1.099970975130296,10,policy_step_limit
1,endpoint,synthetic3d-108940,108940,moderate,False,0.20218447703456421,10,policy_step_limit
1,endpoint,synthetic3d-108948,108948,hard,False,0.38381186908290377,10,policy_step_limit
1,trajectory,synthetic3d-100018,100018,moderate,False,0.05973591922778643,10,policy_step_limit
1,trajectory,synthetic3d-100040,100040,easy,True,0.0,2,acceptable
1,trajectory,synthetic3d-100182,100182,easy,True,0.0,3,acceptable
1,trajectory,synthetic3d-100232,100232,moderate,True,0.0,5,acceptable
1,trajectory,synthetic3d-100319,100319,hard,False,0.3226056420992587,10,policy_step_limit
1,trajectory,synthetic3d-100326,100326,moderate,True,0.0,9,acceptable
1,trajectory,synthetic3d-100492,100492,easy,True,0.0,1,acceptable
1,trajectory,synthetic3d-100882,100882,moderate,False,0.04727318707634418,10,policy_step_limit
1,trajectory,synthetic3d-100887,100887,easy,True,0.0,2,acceptable
1,trajectory,synthetic3d-101275,101275,moderate,True,0.0,3,acceptable
1,trajectory,synthetic3d-101320,101320,hard,False,0.1335879009009504,10,policy_step_limit
1,trajectory,synthetic3d-101444,101444,hard,False,0.3426444365066452,10,policy_step_limit
1,trajectory,synthetic3d-101566,101566,hard,False,0.7291584493453536,10,policy_step_limit
1,trajectory,synthetic3d-101567,101567,easy,True,0.0,5,acceptable
1,trajectory,synthetic3d-101622,101622,moderate,True,0.0,3,acceptable
1,trajectory,synthetic3d-101763,101763,moderate,False,0.04370164520912301,10,policy_step_limit
1,trajectory,synthetic3d-101788,101788,moderate,True,0.0,4,acceptable
1,trajectory,synthetic3d-101921,101921,hard,False,0.25131995527103684,10,policy_step_limit
1,trajectory,synthetic3d-102031,102031,easy,True,0.0,2,acceptable
