seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
10039,True,synthetic-010039,moderate,70,step_limit,False,20.0,0.32599469610868054,0.983700265194566,0.740933925525578,1.2437386343831185,1.1126553620796598
10040,True,synthetic-010040,moderate,45,converged,False,20.0,0.3330684860373431,0.9833465756981328,0.7347727272447718,1.221407693889966,0.9361826604815702
10041,True,synthetic-010041,hard,51,converged,False,20.0,0.661430097478123,0.9669284951260938,0.6673250505520725,1.2404753439211567,1.290487761204688
10042,True,synthetic-010042,moderate,22,converged,False,20.0,0.23764956577311047,0.9881175217113445,0.8490625989222212,1.1241032167703717,1.0654594271000948
10043,True,synthetic-010043,hard,24,converged,False,20.0,0.5359900709098969,0.9732004964545051,0.7751429754652582,1.1378080463719205,1.1819253176852398
10044,True,synthetic-010044,moderate,22,converged,False,20.0,0.32145884050965384,0.9839270579745174,0.7754421222293026,1.2354096391596798,1.0063708811263812
10045,True,synthetic-010045,hard,67,converged,False,20.0,0.7360838877965351,0.9631958056101733,0.6837342673419569,1.2086671087998015,1.340867900523983
10046,True,synthetic-010046,moderate,51,converged,False,20.0,0.1753032258750837,0.9912348387062458,0.8007727413218281,1.2834644327627218,0.823174566923166
10047,True,synthetic-010047,hard,70,step_limit,False,20.0,0.2585776608036771,0.9870711169598161,0.7829164549580129,1.2182440785332656,0.9914589949196247
10048,True,synthetic-010048,hard,30,converged,False,20.0,0.5758592808491391,0.971207035957543,0.7451683548088993,1.3075171040327658,1.1471842606456057
10049,True,synthetic-010049,moderate,20,converged,False,20.0,0.5567888043304408,0.9721605597834779,0.7499060095075202,1.1853838410915296,1.303886636622934
10050,True,synthetic-010050,hard,18,converged,False,20.0,0.6185667380018262,0.9690716630999088,0.74942284976041,1.2744939641970336,1.0990696793816723
10051,True,synthetic-010051,hard,41,converged,False,20.0,0.6612221881612512,0.9669388905919375,0.68762392102848,1.211992035842761,1.3398201385102657
10052,True,synthetic-010052,hard,8,converged,False,20.0,0.6552994658949648,0.9672350267052516,0.6959757337119301,1.2047633253816394,1.1685982983770724
10053,True,synthetic-010053,moderate,10,converged,False,20.0,0.5000568853863089,0.9749971557306847,0.7745163245805187,1.2327755265795155,1.1774906820734348
10054,True,synthetic-010054,moderate,28,converged,False,20.0,0.36305205492226506,0.9818473972538868,0.762354753010218,1.3289703937477264,0.9389574471404083
10055,True,synthetic-010055,hard,18,converged,False,20.0,0.590482718064799,0.9704758640967601,0.7440930341681182,1.2380275079825935,1.0978754032237257
10056,True,synthetic-010056,hard,37,converged,False,20.0,0.545222804497247,0.9727388597751376,0.7492144183864353,1.160649244408841,1.1083715922210893
10057,True,synthetic-010057,hard,22,converged,False,20.0,0.5304492153638157,0.9734775392318091,0.7484716096257261,1.116946775123617,1.228170838431736
10058,True,synthetic-010058,moderate,28,converged,False,20.0,0.35797375028133255,0.9821013124859335,0.7984145015753772,1.2833425868469812,1.0058132944957499
10059,True,synthetic-010059,hard,28,converged,False,20.0,0.6668609030925191,0.9666569548453741,0.7400086991886877,1.2304207683406843,1.0480866845270294
10060,True,synthetic-010060,hard,38,converged,False,20.0,0.5664054806578169,0.9716797259671092,0.7501620936608647,1.2234906520792141,1.1879081932620474
10061,True,synthetic-010061,moderate,34,converged,False,20.0,0.5897998267302773,0.9705100086634861,0.7490042095360869,1.1085770340004104,1.2110294898598306
10062,True,synthetic-010062,hard,46,converged,False,20.0,0.6201278767016162,0.9689936061649191,0.7089612594505136,1.2063220305532885,1.1973267758011312
10063,True,synthetic-010063,moderate,42,converged,False,20.0,0.43879387522649954,0.9780603062386751,0.7367124784971506,1.3055566286977687,1.0745389122056739
10064,True,synthetic-010064,hard,25,converged,False,20.0,0.6882831146748738,0.9655858442662563,0.7112504674088529,1.2920759960278834,1.2820404009913031
