seed,difficulty,mode,arc_like,angular_samples,angular_span_degrees,fluence_pixels,acceptable,target_d95,target_d02,maximum_oar_ratio,loss,elapsed_seconds,peak_memory_mib
19004,moderate,static_4,False,4,270.0,256,False,0.9838935136795044,1.1425784826278687,1.0960460859355512,0.302094042301178,0.6861278000287712,23.048828125
19004,moderate,static_12,False,12,330.0,768,True,0.9979892373085022,1.2202497720718384,0.8926197809658111,0.18600842356681824,0.7303016000660136,65.81787109375
19004,moderate,arc_like_180,True,19,180.0,1216,True,1.0035924911499023,1.2404168844223022,0.8372613262420334,0.1743561327457428,0.9757376000052318,103.24072265625
19004,moderate,arc_like_360,True,36,350.0,2304,True,1.0060497522354126,1.2331517934799194,0.8315482341812253,0.16528165340423584,1.695287000038661,198.85302734375
19005,moderate,static_4,False,4,270.0,256,False,0.9826018810272217,1.157020092010498,1.0345306579443092,0.31190067529678345,0.6849134999793023,23.046875
19005,moderate,static_12,False,12,330.0,768,True,0.9868054389953613,1.1644142866134644,0.9092940679713833,0.20146888494491577,0.6780765000730753,65.81591796875
19005,moderate,arc_like_180,True,19,180.0,1216,True,0.9876469969749451,1.1781203746795654,0.874494360178764,0.1965945065021515,0.8854814999504015,103.23876953125
19005,moderate,arc_like_360,True,36,350.0,2304,True,0.9881782531738281,1.179750680923462,0.869452535777107,0.18506309390068054,1.6694332000333816,198.85107421875
19006,moderate,static_4,False,4,270.0,256,False,0.9695326685905457,1.0464756488800049,1.251114956977257,0.3899144232273102,0.7252660000231117,23.048828125
19006,moderate,static_12,False,12,330.0,768,True,0.987900972366333,1.0467782020568848,0.8902979327601006,0.13005395233631134,0.6984083000570536,65.81787109375
19006,moderate,arc_like_180,True,19,180.0,1216,True,0.9875090718269348,1.0564994812011719,0.928313381828538,0.13234737515449524,0.9000267999945208,103.24072265625
19006,moderate,arc_like_360,True,36,350.0,2304,True,0.9890354871749878,1.050034999847412,0.8593701504319647,0.11577659845352173,1.6722512000706047,198.85302734375
19007,moderate,static_4,False,4,270.0,256,False,0.9702422618865967,1.1996630430221558,1.2515424295966142,0.5569091439247131,0.7122994000092149,23.05078125
19007,moderate,static_12,False,12,330.0,768,False,0.9807336926460266,1.1595269441604614,1.1508907014689247,0.40888968110084534,0.721861399943009,65.81982421875
19007,moderate,arc_like_180,True,19,180.0,1216,False,0.9835845232009888,1.1472697257995605,1.1443059282784707,0.3979318141937256,0.9064331999979913,103.24267578125
19007,moderate,arc_like_360,True,36,350.0,2304,False,0.9876124858856201,1.1544378995895386,1.132735718724645,0.3916510343551636,1.6994142000330612,198.85498046875
19008,hard,static_4,False,4,270.0,256,False,0.9514114856719971,1.2788405418395996,1.3292721722054266,0.6115155220031738,0.7757893999805674,23.05517578125
19008,hard,static_12,False,12,330.0,768,False,0.9623266458511353,1.2940455675125122,1.246265531588101,0.4657498002052307,0.7656691999873146,65.82421875
