environment_version,seed,valid,case_id,difficulty,actions,stopping_reason,acceptable,initial_objective,final_objective,objective_reduction_fraction,target_d95,target_d02,worst_oar_mean_ratio
0.2,10034,True,synthetic-010034,moderate,9,acceptable,True,20.0,0.19077857933927134,0.9904610710330365,0.8533928585770989,1.2103315472281535,0.937817526625275
0.2,10035,True,synthetic-010035,moderate,70,step_limit,False,20.0,0.12254780692132593,0.9938726096539338,0.8420485339532475,1.2394112564116857,0.8217498760250513
0.2,10036,True,synthetic-010036,moderate,70,step_limit,False,20.0,0.29535939293119656,0.9852320303534402,0.7962749624228406,1.2613485222088237,0.9760243214684327
0.2,10037,True,synthetic-010037,moderate,70,step_limit,False,20.0,0.1465018615552507,0.9926749069222375,0.8344296532471219,1.2157557010714937,0.8299930374454727
0.2,10038,True,synthetic-010038,moderate,68,converged,False,20.0,0.25501810462419283,0.9872490947687904,0.7980213281527001,1.291881318047406,1.079368992590609
0.2,10039,True,synthetic-010039,easy,70,step_limit,False,20.0,0.1669764730901564,0.9916511763454923,0.8106328059644242,1.2127163604459177,1.0115350051367822
0.2,10040,True,synthetic-010040,moderate,70,step_limit,False,20.0,0.14355585046295022,0.9928222074768526,0.824103484385054,1.251048554689366,0.7961129560117294
0.2,10041,True,synthetic-010041,moderate,70,step_limit,False,20.0,0.2308839095692114,0.9884558045215395,0.7997869363333466,1.2384222270727363,1.0633984207929152
0.2,10042,True,synthetic-010042,moderate,7,acceptable,True,20.0,0.20615676067003566,0.9896921619664981,0.8637817863526709,1.2201788988001767,0.9891453567026265
0.2,10043,True,synthetic-010043,moderate,30,converged,False,20.0,0.15624353241107433,0.9921878233794462,0.852550817315551,1.1948251651809234,1.0064525223378429
0.2,10044,True,synthetic-010044,moderate,39,converged,False,20.0,0.1713134455738526,0.9914343277213075,0.8401735815646874,1.2102757612668038,0.9333537641977503
0.2,10045,True,synthetic-010045,moderate,70,step_limit,False,20.0,0.20986978965861125,0.9895065105170694,0.7928631236847908,1.231022309111107,0.9797858631183534
0.2,10046,True,synthetic-010046,easy,23,acceptable,True,20.0,0.10677776360796898,0.9946611118196016,0.8611354473369234,1.2337234493255234,0.7294766551526621
0.2,10047,True,synthetic-010047,easy,14,acceptable,True,20.0,0.09949247273931737,0.9950253763630341,0.8623866236837273,1.2205647416569916,0.8136957575255803
0.2,10048,True,synthetic-010048,moderate,53,converged,False,20.0,0.1860895346803723,0.9906955232659813,0.8404232127047694,1.248436099944398,0.9474496741803211
0.2,10049,True,synthetic-010049,easy,42,converged,False,20.0,0.2183966109252521,0.9890801694537373,0.8277752928097364,1.1550298380101742,1.0977650108446249
0.2,10050,True,synthetic-010050,moderate,18,acceptable,True,20.0,0.24514487260846093,0.987742756369577,0.8608630837943434,1.1898965397550734,0.9724789191206789
0.2,10051,True,synthetic-010051,easy,68,converged,False,20.0,0.18878450129475105,0.9905607749352624,0.8112239220372841,1.2287336603020822,1.0291926903385509
0.2,10052,True,synthetic-010052,moderate,9,converged,False,20.0,0.2826706713130377,0.985866466434348,0.7951166283159588,1.1706349787668051,0.9299888557260886
0.2,10053,True,synthetic-010053,moderate,23,converged,False,20.0,0.28252640075975133,0.9858736799620125,0.8084680774494453,1.249337806223925,1.0617358599934463
0.2,10054,True,synthetic-010054,moderate,28,converged,False,20.0,0.18488399653572227,0.990755800173214,0.8432991665142571,1.2846285787354021,0.8790113919576568
0.2,10055,True,synthetic-010055,moderate,24,converged,False,20.0,0.271124911535812,0.9864437544232094,0.8066716544350274,1.2246723397426489,0.8641675280995258
0.2,10056,True,synthetic-010056,moderate,32,converged,False,20.0,0.1909513605435279,0.9904524319728235,0.8592862899741698,1.1694289686031587,1.1090826863839252
0.2,10057,True,synthetic-010057,easy,10,acceptable,True,20.0,0.1693988886286916,0.9915300555685654,0.8802675885870459,1.1653835527168033,0.9966970556619356
0.2,10058,True,synthetic-010058,moderate,35,acceptable,True,20.0,0.17216290286298316,0.9913918548568509,0.8554389010461506,1.2356211346569093,0.8740871456507686
0.2,10059,True,synthetic-010059,moderate,64,converged,False,20.0,0.2270955378231846,0.9886452231088407,0.8140509527078793,1.2939621341497052,1.03758327260506
0.2,10060,True,synthetic-010060,easy,43,converged,False,20.0,0.20652873669431665,0.9896735631652842,0.8113177568979396,1.234566790987965,0.9867849282968097
0.2,10061,True,synthetic-010061,moderate,47,converged,False,20.0,0.269780605691451,0.9865109697154274,0.803361122325239,1.1690408269971337,1.088038312513102
0.2,10062,True,synthetic-010062,moderate,30,converged,False,20.0,0.17005928495095307,0.9914970357524524,0.8338206426292494,1.2414059501540005,0.9629111147714984
