training_seed,condition,case_id,case_seed,difficulty,acceptable,violation_score,high_level_actions,action_sequence,stopping_reason,target_d95_initial,target_d95_final,target_d02_initial,target_d02_final,oar_0_mean_initial,oar_0_mean_final,oar_1_mean_initial,oar_1_mean_final,oar_2_mean_initial,oar_2_mean_final,final_beam_angles_degrees,final_target_priority,final_hotspot_priority,final_oar_priorities
5,endpoint,prostate3d-103369,103369,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3388748168945312,0.9984727501869202,1.6607309579849243,1.1885056495666504,0.17143426835536957,0.17263928055763245,0.4649279713630676,0.34309321641921997,0.7254993319511414,0.2598479688167572,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-103428,103428,easy,True,0.0,1,add_beam_8,acceptable,1.4711138010025024,0.9894824624061584,1.6918973922729492,1.2299518585205078,0.20225274562835693,0.14068257808685303,0.5389876365661621,0.35990703105926514,0.5998525023460388,0.3128569424152374,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-103545,103545,moderate,False,0.013655259328729796,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,1.191236972808838,0.9349318742752075,1.551665186882019,1.0469691753387451,0.2950056791305542,0.30272793769836426,0.5754593014717102,0.350002259016037,0.6763074398040771,0.3446427881717682,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
5,endpoint,prostate3d-103574,103574,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.51955246925354,1.008496880531311,1.6770150661468506,1.206926941871643,0.1605415791273117,0.10884752124547958,0.4680328071117401,0.29036957025527954,0.6659871339797974,0.29787662625312805,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-103710,103710,easy,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.3651800155639648,0.9875162243843079,1.754799246788025,1.2420406341552734,0.14434340596199036,0.1922316700220108,0.5088509917259216,0.35530728101730347,0.6191417574882507,0.28081125020980835,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-103819,103819,hard,False,0.17252369721730565,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,0.975165069103241,0.9365508556365967,1.5872070789337158,1.1810325384140015,0.5134768486022949,0.5628113746643066,0.5909932255744934,0.4305376708507538,0.5586779117584229,0.21650689840316772,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
5,endpoint,prostate3d-103999,103999,moderate,True,0.0,6,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.404045820236206,0.9517186880111694,1.6294095516204834,1.1299262046813965,0.38080549240112305,0.2628294825553894,0.5163614153862,0.31350618600845337,0.5995506644248962,0.2734043002128601,0|90|180|240,1.0,9.37890625,1.0|1.0|1.0
5,endpoint,prostate3d-104063,104063,easy,True,0.0,1,add_beam_8,acceptable,1.5234776735305786,1.0126762390136719,1.7043641805648804,1.2106913328170776,0.086837537586689,0.08157793432474136,0.506074845790863,0.34270748496055603,0.6524584889411926,0.30797725915908813,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-104099,104099,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.1541780233383179,0.9656981825828552,1.7015191316604614,1.1782119274139404,0.20095722377300262,0.2691560387611389,0.5152652859687805,0.37552544474601746,0.6548455357551575,0.28305357694625854,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-104173,104173,easy,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.4709869623184204,0.9914963841438293,1.6198989152908325,1.1568849086761475,0.2343752086162567,0.16832834482192993,0.5197895765304565,0.33041900396347046,0.6655644178390503,0.24873566627502441,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-104245,104245,hard,False,0.1731019179451272,10,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|increase_hotspot_priority|add_beam_5|decrease_oar_2_priority,policy_step_limit,0.9827525615692139,0.9713471531867981,1.4875261783599854,1.0679473876953125,0.5150769948959351,0.4654989540576935,0.6563054323196411,0.4504227042198181,0.6429944634437561,0.39080074429512024,0|90|150|180|240,1.0,25.0,1.0|1.0|0.5714285714285714
5,endpoint,prostate3d-104403,104403,easy,True,0.0,1,add_beam_8,acceptable,1.4692939519882202,1.0281298160552979,1.6859989166259766,1.190474271774292,0.10362274199724197,0.06759485602378845,0.4674091637134552,0.33611825108528137,0.6812626719474792,0.32879626750946045,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-104720,104720,easy,True,0.0,1,add_beam_8,acceptable,1.5208957195281982,0.9741008281707764,1.6717305183410645,1.1257926225662231,0.15625710785388947,0.10445661842823029,0.548902690410614,0.35768449306488037,0.685214102268219,0.33918294310569763,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
5,endpoint,prostate3d-104767,104767,easy,True,0.0,4,add_beam_8|remove_beam_9|increase_hotspot_priority|increase_hotspot_priority,acceptable,1.4217644929885864,0.9729403257369995,1.7116279602050781,1.2425678968429565,0.23729436099529266,0.15504971146583557,0.48496073484420776,0.378802627325058,0.5902089476585388,0.26008257269859314,0|90|180|240,1.0,3.0625,1.0|1.0|1.0
5,endpoint,prostate3d-105237,105237,moderate,True,0.0,3,add_beam_8|remove_beam_9|increase_hotspot_priority,acceptable,1.2829530239105225,0.9547640085220337,1.671390175819397,1.1896770000457764,0.21834835410118103,0.25116661190986633,0.5607671141624451,0.3699517548084259,0.6371402144432068,0.33791813254356384,0|90|180|240,1.0,1.75,1.0|1.0|1.0
5,endpoint,prostate3d-105609,105609,easy,True,0.0,1,add_beam_8,acceptable,1.4054232835769653,0.9603038430213928,1.6649545431137085,1.181135892868042,0.21431028842926025,0.14136657118797302,0.4622619152069092,0.32425156235694885,0.6950119733810425,0.3384054899215698,0|90|180|240|270,1.0,1.0,1.0|1.0|1.0
