condition,seed,update,mean_reward,acceptable_rate,mean_violation,mean_actions,terminal_loss,policy_loss,action_loss,diagnostic_action_cross_entropy,diagnostic_action_accuracy
trajectory,0,8,0.6737521886825562,0.75,0.033747842374642525,4.25,0.23419922590255737,-2.8554091453552246,1.8894494771957397,2.5281357765197754,0.38461539149284363
trajectory,0,9,0.6534156799316406,0.75,0.03908439051212148,5.75,0.2528700530529022,-0.7070757746696472,2.5281357765197754,3.2665963172912598,0.3400222957134247
trajectory,0,10,0.6782885789871216,0.75,0.014211436034737068,5.75,0.2647915482521057,-0.5078029632568359,3.2665963172912598,3.6192002296447754,0.34559643268585205
trajectory,0,11,0.24700073897838593,0.5,0.1854992566565709,6.75,0.26513808965682983,-3.403812885284424,3.6192002296447754,3.4463038444519043,0.4169453978538513
trajectory,0,12,0.5328105688095093,0.75,0.14468942076719465,7.25,0.255077987909317,0.03169228136539459,3.4463038444519043,3.112323760986328,0.47603121399879456
trajectory,0,13,0.9574999809265137,1.0,0.0,4.25,0.23927728831768036,-0.09223123639822006,3.112323760986328,2.9629759788513184,0.4972129464149475
trajectory,0,14,-0.027483344078063965,0.25,0.1849833406313394,9.25,0.23151715099811554,-1.8608850240707397,2.9629759788513184,2.97896671295166,0.4816053509712219
trajectory,0,15,0.37491562962532043,0.5,0.06258437345470388,6.25,0.2418927103281021,-1.578599214553833,2.97896671295166,3.116016149520874,0.4057971239089966
trajectory,0,16,0.34479349851608276,0.5,0.07520653898471939,8.0,0.26263293623924255,-0.5446998476982117,3.116016149520874,3.040019989013672,0.3723523020744324
trajectory,0,17,0.709635317325592,0.75,0.002864694595336914,3.75,0.2763410806655884,-1.4835845232009888,3.040019989013672,2.745976448059082,0.3968784809112549
trajectory,0,18,0.9450000524520874,1.0,0.0,5.5,0.2781268358230591,-0.11283338814973831,2.745976448059082,2.4496397972106934,0.4147157371044159
trajectory,0,19,-0.07195170223712921,0.25,0.2244517132426972,9.75,0.27087000012397766,-0.49968886375427246,2.4496397972106934,2.3159756660461426,0.42697882652282715
trajectory,0,20,-0.2701951861381531,0.0,0.1701951737569716,10.0,0.25888708233833313,-0.11584264039993286,2.3159756660461426,2.162914752960205,0.44481605291366577
trajectory,0,21,0.10786494612693787,0.25,0.047135052558764545,9.5,0.24621735513210297,-0.9937132000923157,2.162914752960205,1.9996812343597412,0.4659977853298187
trajectory,0,22,0.3789805471897125,0.5,0.0510194758565808,7.0,0.23557110130786896,-1.9153151512145996,1.9996812343597412,1.8654032945632935,0.4715719223022461
